Name,X10_Chronic_KO_1_RNA,X11_Chronic_KO_2_RNA,X12_Chronic_KO_3_RNA,X1_Acute_Control_1_RNA,X2_Acute_Control_2_RNA,X3_Acute_Control_3_RNA,X4_Acute_KO_1_RNA,X5_Acute_KO_2_RNA,X6_Acute_KO_3_RNA,X7_Chronic_Control_1_RNA,X8_Chronic_Control_2_RNA,X9_Chronic_Control_3_RNA
ENSMUSG00000030528, 3.86574, 3.76067, 4.38214, 3.60656, 3.57924, 3.76770, 3.84333, 3.79391, 4.04062, 3.70352, 3.47995, 3.71956
ENSMUSG00000027001, 3.97558, 4.04098, 4.42587, 3.93014, 4.00327, 4.02382, 3.77032, 4.09300, 4.34472, 4.00443, 4.14106, 4.35551
ENSMUSG00000038241, 6.40298, 6.46442, 6.15130, 6.49869, 6.55451, 6.80355, 6.65224, 6.57730, 6.42860, 5.91716, 5.86089, 5.93885
ENSMUSG00000034621, 3.48651, 3.56698, 4.00523, 3.79115, 3.83654, 4.13802, 4.11481, 3.49906, 3.13013, 3.22477, 3.38136, 3.34017
ENSMUSG00000096795, 2.21693, 2.15556, 2.29838, 1.50360, 1.78725, 1.26862, 1.70790, 2.63176, 2.40102, 2.25195, 1.73290, 1.48349
ENSMUSG00000117294,-1.03990,-0.43395,-2.00273,-2.24918,-4.85718,-3.28437,-3.65424, 1.73459, 0.59111,-1.00663,-0.57640,-0.65037
ENSMUSG00000027395, 4.66416, 4.41355, 2.69765, 4.89066, 4.89665, 4.68351, 4.45985, 4.44060, 3.67444, 4.90609, 4.77687, 3.47658
ENSMUSG00000099966, 3.39556, 3.13300, 1.42826, 2.49009, 2.62102, 2.11300, 2.57568, 3.69294, 3.05347, 3.37072, 3.39586, 2.21850
ENSMUSG00000073705, 2.81306, 2.68558, 1.52971, 2.07058, 2.41552, 1.49384, 2.28340, 2.47675, 2.50337, 1.98028, 2.07327, 1.51763
ENSMUSG00000000916, 2.87461, 2.66225, 1.96464, 3.11200, 3.04184, 2.82244, 2.52254, 2.57730, 1.75843, 2.44324, 2.57440, 1.88101
ENSMUSG00000029071, 4.77845, 4.80835, 4.65031, 3.84133, 3.97296, 3.72578, 4.09024, 4.77596, 4.49445, 4.44323, 4.43874, 4.47216
ENSMUSG00000024480, 6.09792, 6.16819, 6.69368, 5.93549, 5.96674, 6.14662, 6.50910, 6.15482, 6.37935, 6.16348, 6.03454, 6.44908
ENSMUSG00000000791, 6.53920, 6.44633, 6.60981, 7.47887, 7.49882, 7.48509, 6.99817, 6.90966, 7.08879, 6.84984, 6.83296, 6.93686
ENSMUSG00000028343, 6.59459, 6.60055, 6.97571, 6.76837, 6.77387, 6.77144, 6.13788, 6.70952, 6.71684, 7.06753, 6.99797, 7.21671
ENSMUSG00000008226, 0.79057, 0.79728, 1.24514, 1.53007, 1.80800, 1.81915, 1.21882, 1.07268, 0.74760, 0.99324, 1.04298, 1.56736
ENSMUSG00000019794, 5.33504, 5.38768, 5.96587, 5.23706, 5.26887, 5.33755, 5.43841, 5.31453, 5.49802, 5.09574, 5.17017, 5.44466
ENSMUSG00000033933, 4.00988, 4.30350, 5.81738, 3.99174, 4.15676, 4.45045, 4.47291, 4.26365, 5.05677, 4.10917, 4.20835, 4.90341
ENSMUSG00000107479, 0.98699, 0.88051,-0.31828, 1.46753, 1.94546, 1.36677, 0.92327, 0.37823, 0.31907, 3.23297, 3.33394, 2.26948
ENSMUSG00000027678, 4.74103, 4.72917, 4.97367, 4.98297, 4.87878, 4.96780, 5.15143, 5.01325, 4.75292, 4.40743, 4.48831, 4.67766
ENSMUSG00000100280, 2.06989, 1.49642, 1.40903, 1.99659, 1.90750, 1.58638, 1.33784, 1.98522, 1.98761, 1.61213, 1.39454, 1.82077
ENSMUSG00000063236, 4.81123, 4.73010, 4.30099, 5.00516, 4.99344, 4.75955, 4.73225, 4.67043, 4.68678, 4.80698, 4.66516, 4.53183
ENSMUSG00000026941,-0.15068,-0.00256,-1.16626,-2.37450,-0.65615,-1.70760,-0.80549, 0.24482,-0.96009,-1.22899,-0.14836,-0.72823
ENSMUSG00000002797, 3.17152, 2.78614, 2.31398, 3.91850, 3.98212, 3.64789, 2.65188, 3.13749, 2.96456, 3.83869, 3.83959, 3.53190
ENSMUSG00000118071,-0.23997,-0.85979,-0.68084,-1.31167,-0.90358,-1.78982,-1.01399, 0.29068,-0.73620,-1.35450,-1.12012,-0.37516
ENSMUSG00000039662, 4.43697, 4.48399, 4.70949, 5.05841, 5.09191, 5.25153, 4.60567, 3.80974, 4.35996, 4.37320, 4.18849, 4.43803
ENSMUSG00000022248, 3.31165, 3.30103, 2.67769, 3.36330, 3.31261, 3.23743, 3.34557, 2.77171, 2.55725, 3.07459, 2.74724, 2.62696
ENSMUSG00000064367, 8.82260, 8.92400, 9.74603, 8.21011, 8.28449, 7.91288, 7.95387, 9.04782, 8.87306, 9.93485, 9.66290, 9.89701
ENSMUSG00000028455, 6.63281, 6.60871, 6.19618, 6.44812, 6.41325, 6.34869, 6.29692, 6.46805, 6.49980, 6.51704, 6.53278, 6.46584
ENSMUSG00000007035, 0.50936, 0.49675,-0.72266, 0.39276, 0.69422, 0.51156,-0.40174,-0.15529,-0.78900, 0.98030, 0.69444, 1.31903
ENSMUSG00000015702, 1.45359, 1.56512, 0.39932, 2.39729, 2.42898, 2.29852, 2.04045, 2.25182, 1.97974, 2.22478, 2.13682, 1.56736
ENSMUSG00000042826, 2.03859, 2.03964, 2.92117,-4.82278,-4.85718,-3.06373, 1.60211, 2.50133, 3.04972,-1.05909,-1.49507, 0.10070
ENSMUSG00000015312, 4.19159, 4.34561, 5.03299, 2.43513, 2.32723, 2.74060, 3.28532, 4.25066, 4.52045, 5.77221, 5.73250, 5.62331
ENSMUSG00000073481, 5.84238, 5.88885, 6.48533, 6.09801, 5.95671, 5.94214, 5.86351, 6.06614, 6.16880, 5.76327, 5.79785, 6.34984
ENSMUSG00000063382, 3.63620, 3.54377, 3.08164, 4.30571, 4.20450, 4.50535, 3.88453, 3.45695, 3.47335, 3.32028, 3.29733, 3.68806
ENSMUSG00000020654, 4.79728, 4.55854, 4.55836, 4.80474, 4.71080, 4.95681, 5.07506, 4.53530, 4.78488, 4.29306, 4.35213, 3.95107
ENSMUSG00000041815, 6.06878, 6.05107, 6.73312, 6.24207, 6.30244, 6.39566, 6.22063, 6.33213, 6.55811, 6.23365, 6.13436, 6.56302
ENSMUSG00000010066,-3.47530,-3.04653,-2.48813,-1.74735,-2.43816,-2.17551,-2.00691,-1.62610,-2.56620,-1.49199,-2.26981,-0.61295
ENSMUSG00000006301, 3.41275, 3.39366, 3.54300, 3.72395, 3.63837, 3.65567, 3.31464, 2.85419, 2.96854, 3.80790, 4.05412, 3.78058
ENSMUSG00000022102, 6.02034, 5.74173, 4.48332, 7.99251, 7.89033, 7.94967, 6.60784, 5.98174, 5.95968, 5.99279, 6.00030, 5.81307
ENSMUSG00000027942, 5.12462, 5.10724, 5.34340, 5.54837, 5.60061, 5.65851, 5.24402, 4.97602, 5.14649, 5.24248, 5.35522, 4.96732
ENSMUSG00000050910,-3.21177,-2.39720,-4.80971,-2.13388,-1.37879,-2.87240,-2.67653,-1.80745,-5.80927,-2.35428,-1.88613,-2.08669
ENSMUSG00000074824,-2.98902,-2.68564,-0.85592,-1.19147,-0.85928,-1.35486,-1.48765,-2.25730,-1.85352,-2.49174,-2.42431,-1.03954
