Name,X10_Chronic_KO_1_RNA,X11_Chronic_KO_2_RNA,X12_Chronic_KO_3_RNA,X1_Acute_Control_1_RNA,X2_Acute_Control_2_RNA,X3_Acute_Control_3_RNA,X4_Acute_KO_1_RNA,X5_Acute_KO_2_RNA,X6_Acute_KO_3_RNA,X7_Chronic_Control_1_RNA,X8_Chronic_Control_2_RNA,X9_Chronic_Control_3_RNA
ENSMUSG00000094105, 0.29301,-0.21654,-3.80993, 3.79842, 3.78688, 3.71836, 1.97979, 1.50100, 0.63185, 5.04227, 4.98016, 3.40087
ENSMUSG00000041949, 2.28252, 2.22089, 2.52524, 1.82193, 2.04205, 1.90659, 1.81279, 1.83858, 2.29085, 2.05623, 2.34249, 2.08828
ENSMUSG00000031540, 4.57644, 4.57738, 4.88334, 5.10097, 5.11984, 5.45712, 5.34531, 4.52934, 4.50272, 4.44205, 4.67351, 4.70013
ENSMUSG00000120180, 0.68133, 0.20543,-0.81012,-1.13493,-1.25884,-0.97228,-2.00691,-0.54059,-0.04831, 0.84410, 1.01318,-0.76880
ENSMUSG00000082066, 0.45349, 0.30921,-1.16626,-2.13388,-1.09578,-1.78982,-2.30321,-1.39077,-2.23790, 1.21930, 1.15636, 0.38584
ENSMUSG00000121855, 0.54543, 0.42463, 1.59925, 0.87808, 1.13843, 1.20636, 0.35669, 0.04528, 1.03263, 0.23031,-0.77004, 0.99483
ENSMUSG00000016637, 3.77750, 3.68358, 2.81190, 4.28643, 4.19008, 4.11561, 3.66917, 3.28070, 3.31973, 3.95568, 3.87107, 3.75398
ENSMUSG00000039220, 5.20152, 5.13787, 4.09524, 4.83867, 4.95131, 4.94176, 5.00484, 4.89670, 4.66487, 4.75665, 4.76574, 4.13136
ENSMUSG00000057863,10.77506,10.65445,10.96870,10.32966,10.26517,10.13619,10.04808,11.15377,11.27310,10.86428,10.90180,11.18000
ENSMUSG00000024590, 6.73982, 6.62740, 5.79023, 6.47420, 6.52296, 6.46848, 7.00234, 6.46774, 6.33840, 5.68270, 5.63255, 5.58408
ENSMUSG00000056155,-1.03990,-1.33558,-2.81004,-4.82278,-1.99313,-2.17551,-1.68781,-2.01491,-0.45451,-2.49174,-2.13027,-1.50397
ENSMUSG00000026765,-0.50922,-0.95279, 1.24514, 2.15804, 2.35099, 2.24274, 0.42446, 0.37823, 0.24221, 2.20823, 1.85550, 3.33300
ENSMUSG00000028792, 6.28957, 6.31878, 5.76350, 6.44319, 6.36417, 6.25216, 5.89409, 6.18700, 6.17398, 6.59523, 6.65809, 6.33136
ENSMUSG00000035401, 5.66365, 5.75281, 5.98142, 5.08840, 5.14317, 5.32845, 4.94408, 6.22587, 6.14129, 5.74761, 5.69429, 5.89041
ENSMUSG00000060586,-3.47530,-2.27207,-2.22511,-2.24918,-2.43816,-2.29051,-3.39860,-5.80927,-4.66541,-0.68474,-2.13027,-1.09005
ENSMUSG00000044303, 6.63124, 6.47785, 6.40841, 6.85663, 6.70293, 6.75476, 6.64826, 7.40984, 7.52202, 7.41946, 7.46065, 7.64793
ENSMUSG00000027671, 5.15120, 5.22670, 4.89980, 5.18110, 5.21226, 5.11698, 4.94984, 4.64418, 4.68437, 5.03993, 4.98784, 4.62676
ENSMUSG00000061898, 2.47250, 1.96533, 1.62448, 2.16369, 1.97634, 1.67334, 2.17935, 2.37931, 1.70215, 2.16314, 2.23043, 1.16602
ENSMUSG00000073598,-1.09437,-1.21547,-2.64013,-0.88134,-1.14811,-1.12401,-0.72986,-0.42490,-1.29989,-2.00645,-1.49507,-0.65037
ENSMUSG00000030086, 3.17152, 3.13017, 3.12354, 3.15515, 3.11028, 3.22440, 3.26698, 3.13435, 3.57348, 3.05004, 3.04467, 2.88407
ENSMUSG00000031438, 4.02911, 4.13719, 5.43124, 4.58250, 4.61396, 5.25538, 4.35953, 4.51008, 5.22764, 4.37320, 4.33116, 5.61150
ENSMUSG00000033083, 0.69745, 0.90722, 0.51179, 1.09454, 0.95212, 1.08473, 1.38963, 0.73403, 0.48392,-2.81355,-2.26981,-1.89488
ENSMUSG00000017756, 3.25286, 3.54164, 3.47987, 3.42807, 3.66894, 3.51934, 3.43661, 3.30325, 3.52293, 3.24113, 3.25340, 4.00771
ENSMUSG00000029657, 4.53667, 4.65033, 4.93048, 5.08246, 5.16679, 5.49234, 4.98393, 3.65838, 4.16033, 4.15883, 3.97326, 4.03448
ENSMUSG00000043953, 0.91987, 1.53118, 2.43778, 1.85720, 1.95169, 2.09593, 1.73484, 1.66666, 1.52963, 2.11660, 1.78673, 2.98512
ENSMUSG00000019235,-0.93677,-2.05031,-0.90323,-1.66498,-1.25884,-2.17551,-1.42666,-1.01113,-0.58849,-0.68474,-0.66997,-1.31188
ENSMUSG00000007039, 5.17082, 5.32592, 6.01162, 1.62317, 1.74483, 2.15206, 4.46790, 5.19679, 5.44399, 2.58673, 2.78299, 4.76551
ENSMUSG00000029265, 5.56166, 5.65525, 6.06368, 5.65744, 5.70064, 5.97907, 5.96338, 5.63035, 5.71026, 5.57655, 5.48299, 5.94042
ENSMUSG00000043065, 3.71947, 4.04248, 4.64928, 3.61277, 3.68586, 4.04769, 3.88302, 3.84858, 3.92448, 3.27596, 2.89342, 3.77706
ENSMUSG00000037202,10.13095, 9.99721, 9.07783,10.64892,10.73640,11.16797, 9.80309, 9.03882, 9.71529,10.99942,11.08926, 9.97397
ENSMUSG00000019970, 4.51977, 4.43894, 3.82466, 4.06749, 3.94981, 4.46935, 4.69586, 3.64300, 4.28211, 4.07915, 4.11850, 4.25286
ENSMUSG00000035437, 4.28790, 4.19252, 5.01322, 3.96935, 4.12954, 4.43583, 4.60931, 4.36358, 4.36752, 3.88455, 3.70629, 4.13549
ENSMUSG00000120187,-0.88784,-0.43395,-1.22515,-1.92771,-1.31757,-1.62982,-1.68781,-1.71393,-1.08658, 0.29444, 0.20786, 0.22986
ENSMUSG00000021250, 2.33499, 2.67785, 3.50726, 1.10632, 0.97677, 2.19009, 0.93494, 0.66607, 2.30352, 0.82975, 0.12671, 2.71049
ENSMUSG00000120867,-3.47530,-3.26766,-2.35064,-1.83471,-1.50962,-2.41548,-1.01399,-1.80745,-2.99193,-2.81355,-1.49507,-0.85352
ENSMUSG00000028899, 5.56111, 5.49832, 5.29183, 5.57616, 5.57964, 5.49776, 5.12684, 5.57873, 5.50009, 5.78063, 5.79238, 5.52919
ENSMUSG00000020375, 3.51408, 3.45604, 3.66559, 3.62918, 3.72821, 3.74050, 3.61400, 3.23745, 3.37478, 3.79687, 3.93801, 3.68806
ENSMUSG00000005949, 2.50034, 2.53531, 3.09975, 3.44207, 3.43772, 3.30583, 3.05079, 2.75136, 2.86127, 3.17169, 3.01491, 3.18686
ENSMUSG00000027655, 4.24741, 4.39480, 4.66051, 3.91012, 3.87802, 4.00260, 4.37888, 4.33788, 4.31845, 3.86884, 3.80088, 4.19734
ENSMUSG00000102278, 0.86383, 1.15019, 1.06022, 0.07093, 0.13919, 1.00163, 0.17185, 0.19747, 0.81991, 1.79320, 1.74201, 2.19760
ENSMUSG00000045624, 6.94786, 6.78691, 6.13785, 5.89193, 5.85069, 5.85224, 5.95802, 7.62494, 6.95119, 7.16491, 7.15756, 5.97154
ENSMUSG00000038949, 4.24192, 4.24319, 4.79811, 4.25900, 4.17817, 4.34362, 4.26564, 3.92508, 4.32622, 4.38674, 4.47880, 4.24905
ENSMUSG00000034007, 3.69157, 3.77524, 4.45312, 3.93345, 4.00477, 4.24642, 3.80729, 4.77293, 4.43382, 4.14295, 4.09381, 4.68612
ENSMUSG00000036707, 6.72761, 6.75877, 6.88573, 7.11377, 7.16391, 7.22313, 7.14540, 6.60195, 6.40676, 6.79594, 6.75775, 6.69263
ENSMUSG00000026491, 5.93453, 5.87961, 5.60718, 5.41211, 5.32153, 5.24509, 5.84431, 5.86440, 5.52734, 5.53678, 5.35448, 4.99712
ENSMUSG00000028729, 6.59620, 6.44917, 5.41083, 6.93610, 6.90967, 6.70591, 6.25187, 6.63399, 6.46640, 6.70253, 6.71761, 5.89610
ENSMUSG00000050471, 4.07765, 4.06638, 3.44724, 3.78016, 3.75695, 3.56967, 4.02896, 4.01490, 3.90176, 4.26266, 4.42466, 3.54023
ENSMUSG00000021248, 6.98794, 7.04036, 7.09373, 7.38984, 7.40176, 7.36688, 7.14021, 6.71136, 7.01731, 7.17044, 7.15756, 7.05525
ENSMUSG00000033581, 1.31418, 1.47872, 1.62448, 3.16363, 2.95458, 3.56554, 2.49916, 2.58652, 2.41276, 1.94075, 1.92915, 2.98512
ENSMUSG00000109324, 7.24091, 7.07409, 6.02669, 7.29367, 7.22112, 7.14506, 6.99678, 6.91539, 7.02761, 7.07344, 7.13849, 6.57421
ENSMUSG00000027881, 7.22013, 7.09166, 7.79891, 6.80066, 6.78852, 6.63210, 6.74422, 7.88944, 7.65474, 7.11824, 7.00295, 7.04760
ENSMUSG00000026202, 6.86353, 6.74473, 5.77199, 7.08226, 7.09979, 7.20483, 6.96174, 6.65249, 6.83850, 6.79109, 6.86693, 6.57371
ENSMUSG00000061244, 5.21489, 5.17543, 5.16211, 5.37121, 5.44480, 5.51070, 5.18906, 5.18622, 4.98291, 5.37752, 5.36115, 5.10840
ENSMUSG00000038240, 2.87461, 2.83564, 3.03534, 2.75236, 2.73738, 2.94507, 3.13917, 2.53506, 2.75923, 2.73660, 2.65860, 2.57522
ENSMUSG00000109038,-2.62597,-2.68564,-3.80993,-5.80927,-5.80927,-5.80927,-3.96516,-1.46503,-1.97063,-2.64369,-3.29243,-2.19309
ENSMUSG00000039616, 2.73320, 2.92330, 3.44488, 3.33355, 3.37884, 3.22440, 3.63561, 3.53760, 3.60451, 2.36078, 2.52775, 3.45912
ENSMUSG00000053289, 6.06452, 6.08802, 6.73602, 5.74337, 5.74570, 5.88117, 5.85931, 6.60904, 6.35408, 6.27827, 6.19159, 5.75791
ENSMUSG00000015733, 6.46079, 6.48479, 6.51262, 6.73059, 6.70201, 6.98255, 6.74670, 6.31039, 6.33532, 6.59868, 6.56778, 6.39501
ENSMUSG00000067847, 6.62914, 6.31629, 5.79579, 6.15617, 6.10732, 5.85858, 5.84005, 6.58048, 6.58137, 6.81201, 6.86172, 6.38840
ENSMUSG00000027351, 4.43937, 4.38770, 4.01481, 5.19908, 5.19661, 5.35918, 5.18173, 4.55069, 4.89463, 3.99481, 4.09024, 3.68993
ENSMUSG00000055805, 8.96680, 8.96728, 8.92821, 8.93698, 8.96691, 9.09120, 9.28948, 9.23984, 9.15387, 8.53864, 8.55034, 8.89125
ENSMUSG00000068859,-3.21177,-3.26766,-0.72266,-5.80927,-5.80927,-5.80927,-2.00691,-2.01491,-0.54243,-3.81294,-4.68440,-3.87735
ENSMUSG00000027546, 0.45349, 0.75380, 1.29838, 0.97118, 1.45144, 1.50250, 0.98068, 1.49121, 1.49692, 0.48968, 0.15427, 1.42174
ENSMUSG00000031446, 4.83693, 4.76611, 4.64415, 4.73630, 4.71264, 4.87078, 5.25221, 4.69408, 4.77469, 4.23841, 4.18348, 4.08658
ENSMUSG00000047878,-4.80173,-3.26766,-4.80971,-3.50902,-2.57475,-3.54495,-5.80927,-5.80927,-4.03551,-0.19935, 0.35763,-1.25315
ENSMUSG00000024150, 4.27721, 4.44351, 5.08467, 4.77738, 4.85405, 5.04172, 4.77669, 4.04029, 4.42371, 4.35075, 4.38595, 4.71950
ENSMUSG00000050100, 0.76019, 1.05785, 1.20108,-3.82959,-3.88174,-4.27215, 0.06971, 0.53885,-0.04831,-0.35462,-1.41188,-0.89783
ENSMUSG00000117871,-5.80927,-4.25889,-3.48805, 1.00931, 0.75248, 1.09622,-3.65424,-2.91450,-3.59852,-2.64369,-1.33323,-2.88902
ENSMUSG00000022994, 1.38557, 1.67799, 0.56490,-1.83471,-2.89418,-1.78982, 2.23703, 1.83858, 1.67317,-1.17011,-1.33323, 0.29034
ENSMUSG00000000184, 8.84222, 8.76677, 8.34285, 9.08249, 9.15705, 9.24631, 8.94438, 9.46807, 9.43190, 9.21102, 9.30232, 8.94079
ENSMUSG00000025784,-2.33616,-3.04653,-3.00267,-0.70636,-1.57977,-0.55786,-2.99286,-2.01491,-3.26358,-4.81171,-3.29243,-3.30015
ENSMUSG00000087590, 5.44476, 5.56797, 6.16999, 4.91597, 4.72815, 4.54677, 4.73058, 4.91053, 4.98684, 5.14512, 5.26487, 5.55612
ENSMUSG00000100334,-1.79517,-0.90554,-1.00276,-4.24235,-3.30506,-3.28437,-3.65424,-2.72009,-2.39273,-1.56597,-1.18772,-1.14239
ENSMUSG00000027223,-1.54710,-1.33558,-0.85592,-2.66346,-3.88174,-3.86321,-0.65799,-1.46503,-1.15424,-2.11334,-2.79403,-1.09005
ENSMUSG00000020009, 7.72122, 7.75096, 8.37651, 8.38139, 8.27970, 8.52854, 8.22595, 8.12569, 7.94693, 7.69140, 7.55881, 8.25618
ENSMUSG00000032182, 4.74782, 4.82508, 4.55508, 4.80113, 4.72269, 4.67203, 4.61838, 5.12188, 5.07535, 4.71820, 4.72497, 4.70476
ENSMUSG00000021215, 4.78318, 4.71695, 6.05597, 4.46966, 4.59020, 4.98645, 4.61204, 4.99432, 5.52328, 4.54009, 4.46648, 5.03812
ENSMUSG00000042289,-0.98742,-0.73065,-1.90320,-1.19147,-2.43816,-1.17835,-1.42666,-0.28381,-2.09808,-0.95601,-0.87756,-0.50621
ENSMUSG00000116207, 1.57200,-1.77087, 0.52971, 2.79664, 3.28574, 3.22440, 2.98216,-5.80927,-0.04831, 1.26269, 0.91992, 0.92024
ENSMUSG00000001948,-0.33514, 0.20543,-0.72266,-0.58777,-0.28996,-0.35647,-0.80549, 0.29068,-0.14824, 0.78580, 0.73150,-0.34418
ENSMUSG00000057895, 1.05112, 0.81149, 0.83372,-0.74815,-0.54672,-0.02238,-0.34421,-0.28381, 0.13292, 0.50783, 0.61732, 0.07800
ENSMUSG00000045201,-5.80927,-5.80927,-3.80993,-5.80927,-5.80927,-4.27215,-2.09908,-1.46503,-1.64447,-3.22838,-5.80927,-3.30015
ENSMUSG00000075327, 2.85319, 3.13583, 4.43540, 3.29033, 3.44437, 3.33765, 3.37584, 2.55868, 2.40690, 3.90181, 3.81605, 4.09225
ENSMUSG00000112458, 1.80560, 1.61458, 1.77482, 1.45837, 1.51171, 1.24817, 1.66651, 2.55398, 1.72116, 0.69369, 0.80290, 2.00049
ENSMUSG00000049154, 3.05122, 3.32599, 4.16570,-0.83557,-1.14811,-0.04745, 3.09305, 3.64521, 4.07611,-0.56610,-0.25308, 2.07114
ENSMUSG00000004815, 2.27180, 2.70093, 2.19548, 2.40684, 2.45990, 2.19009, 2.67642, 2.26910, 2.07145, 2.16885, 2.41264, 2.08828
ENSMUSG00000021266, 6.82070, 6.72493, 6.14477, 6.77461, 6.80603, 6.50639, 6.77294, 6.91310, 6.63528, 7.01299, 7.02574, 6.27167
ENSMUSG00000022519,-1.20990,-1.77087,-3.48805,-1.51312,-3.30506,-2.29051,-1.83855,-4.15587,-1.85352,-1.49199,-2.13027,-3.07999
ENSMUSG00000022945, 4.70460, 4.53519, 3.14114, 4.10612, 4.03148, 3.67112, 3.85719, 4.40456, 4.03683, 4.28913, 4.01332, 3.43699
ENSMUSG00000111088, 0.24993, 0.64692,-0.85592,-0.13546,-0.47812,-0.92506,-0.11041, 0.94945,-0.11416, 0.92735, 0.91992,-0.22650
ENSMUSG00000029860, 6.99244, 7.05144, 7.09918, 7.50510, 7.56216, 7.91470, 7.19081, 6.12942, 6.13687, 6.46661, 6.47691, 6.87341
ENSMUSG00000090881,-4.21427,-2.68564,-3.48805,-2.24918,-2.72564,-3.06373,-2.09908,-2.39570,-2.39273,-3.49125,-3.02181,-2.08669
ENSMUSG00000034593, 5.42372, 5.44691, 5.46714, 5.29994, 5.37640, 5.32845, 5.75293, 5.45958, 5.36916, 5.00762, 5.00118, 5.01664
ENSMUSG00000097121, 0.68133, 0.22679, 0.49364,-0.02858, 0.18222,-0.12538,-0.01754, 0.78297, 0.74760, 0.43383,-0.01960, 0.38584
ENSMUSG00000047423, 4.76800, 4.78424, 5.22602, 5.21140, 5.31792, 5.45489, 4.85631, 4.86674, 5.08180, 5.00203, 5.15831, 5.50918
ENSMUSG00000005417, 5.75939, 5.76564, 5.16498, 5.83380, 5.81654, 5.95443, 5.78913, 5.89255, 5.93699, 5.87059, 5.93824, 6.36720
ENSMUSG00000107491,-2.62597,-2.85483,-1.28655,-4.82278,-3.30506,-4.27215,-3.39860,-2.25730,-2.09808,-2.81355,-3.62579,-2.72039
ENSMUSG00000099098,-1.03990,-0.13253,-0.38386,-0.37637,-1.99313,-2.70350,-0.13459, 0.29068, 0.16103,-0.72655,-0.66997,-0.04117
ENSMUSG00000027598, 5.02992, 5.06487, 5.83866, 5.20251, 5.18277, 5.40667, 5.39525, 4.93058, 5.08271, 5.10098, 5.07334, 5.26606
ENSMUSG00000027438, 0.18281, 0.58210, 1.52077, 1.69511, 1.07135, 0.76295, 0.66761, 1.59537, 1.19097, 1.74046, 1.75107, 2.24930
ENSMUSG00000114004,-3.79798,-1.33558,-5.80927,-2.37450,-1.25884,-4.27215,-1.01399,-1.25282,-1.55031,-5.80927,-1.41188,-0.94354
ENSMUSG00000038593, 2.79818, 2.99353, 3.28261, 2.66748, 2.58941, 2.81897, 3.07998, 3.47939, 3.17562, 2.72113, 2.46310, 3.54851
ENSMUSG00000053070,-0.70721,-0.61213,-0.85592,-0.13546,-0.20435,-0.42053,-1.15527,-2.39570,-2.76342, 1.26269, 0.85422, 0.78664
ENSMUSG00000034673, 5.40604, 5.50106, 5.85741, 4.37184, 4.42203, 4.65368, 5.47083, 5.79501, 5.83600, 4.51452, 4.49506, 5.40361
ENSMUSG00000029022, 5.00908, 5.01279, 4.70259, 4.68912, 4.57211, 4.41303, 4.48883, 5.10112, 4.90610, 5.12395, 4.91720, 5.28166
ENSMUSG00000032932, 3.13647, 3.14427, 3.67970, 3.42572, 3.49430, 3.75688, 3.53571, 2.43652, 3.06467, 3.13129, 2.92576, 3.09093
ENSMUSG00000044199, 4.93962, 4.99733, 5.96423, 6.15652, 6.26291, 6.32172, 5.55451, 5.34337, 5.53071, 5.68768, 5.76973, 6.37769
ENSMUSG00000031231, 7.85771, 7.69218, 7.46641, 7.74678, 7.76139, 7.62566, 7.31654, 7.64341, 7.73275, 8.05832, 8.15225, 7.71129
ENSMUSG00000037846,-1.40263,-0.24566,-0.85592,-3.24690,-3.30506,-3.54495,-1.48765,-1.62610,-3.26358,-4.81171,-4.06010,-1.43706
ENSMUSG00000117679, 3.60662, 3.55437, 3.21222, 2.69503, 2.72288, 2.79096, 3.48503, 3.66057, 3.52293, 2.72889, 2.72444, 2.85766
ENSMUSG00000078184,-2.21052,-2.68564,-2.22511,-2.83300,-3.30506,-2.29051,-2.54107,-1.80745,-1.22523,-2.11334,-1.41188,-2.19309
ENSMUSG00000035298,-0.84052,-1.05220,-2.48813,-0.83557,-1.09578,-1.62982,-1.68781,-0.71086,-0.73620,-0.64410,-1.33323,-1.14239
ENSMUSG00000056130, 0.43438, 1.09317, 0.99721,-1.83471,-2.57475,-2.55231, 0.59594,-0.28381, 0.24221,-0.90711,-0.77004,-1.57413
ENSMUSG00000085721,-2.47380,-2.53422,-0.76573,-1.37575,-0.41264,-0.59434,-2.19754,-0.95654,-0.63606,-1.81385,-0.62243,-0.40683
ENSMUSG00000048108,-1.88834,-3.52894,-2.48813,-3.02516,-2.57475,-3.28437,-2.41725,-2.39570,-4.66541,-5.80927,-1.88613,-2.56943
ENSMUSG00000032254, 4.14826, 4.21941, 4.03534, 3.62714, 3.62674, 3.71836, 4.17877, 4.22580, 3.59939, 3.62879, 3.65415, 3.67489
ENSMUSG00000032192, 3.45604, 3.56698, 4.20805, 2.85713, 2.67097, 2.99810, 4.41993, 4.48442, 4.12509, 3.01874, 2.96131, 4.20128
ENSMUSG00000006058, 6.11453, 5.96987, 5.51796, 6.10427, 6.04713, 5.88366, 5.52007, 6.28016, 6.29228, 6.48791, 6.52224, 6.09254
ENSMUSG00000039523, 3.70758, 3.83905, 3.24784, 3.84485, 3.88292, 3.91772, 3.74900, 3.55179, 3.48729, 3.58031, 3.40450, 3.28674
ENSMUSG00000030103, 8.24030, 8.38974, 9.61598, 8.70969, 8.68883, 8.96404, 8.82577, 7.78756, 8.23047, 8.22073, 8.21524, 8.64889
ENSMUSG00000099764, 1.65689, 1.81123, 1.77482, 1.05863, 1.75198, 1.23783, 0.92327, 1.53949, 1.95587, 1.77083, 1.59891, 1.93253
ENSMUSG00000097388, 0.61498, 0.53150, 1.72124, 0.18637, 0.58625, 0.34816, 0.44092, 0.84575, 1.19097, 0.66163, 0.83731, 0.97040
ENSMUSG00000027665, 5.51523, 5.52173, 5.39381, 5.19288, 5.28992, 5.33755, 5.33048, 5.93061, 5.67536, 5.54998, 5.57508, 5.57448
ENSMUSG00000070343, 8.59210, 8.01247, 8.08902, 6.76466, 7.07307, 4.76226, 6.41148, 8.08621, 7.49397, 8.36754, 8.73828, 3.69740
ENSMUSG00000007892,12.11853,12.06726,12.44682,11.56165,11.48677,11.41746,11.76573,12.01368,12.29563,11.82662,11.94924,12.11950
ENSMUSG00000120241, 1.74484, 1.65454, 1.34973, 1.86415, 1.84863, 1.66565, 1.72815, 1.48136, 1.37021, 1.88630, 2.19769, 1.43966
ENSMUSG00000029471, 3.72734, 3.62646, 2.79718, 3.39724, 3.48359, 3.29590, 3.67961, 3.68653, 3.72239, 3.21099, 3.18490, 2.56302
ENSMUSG00000074340,-0.88784,-0.69005,-1.56218,-0.10798,-0.81630,-2.41548,-2.82604,-0.66637,-1.64447,-0.11363, 0.04072,-0.04117
ENSMUSG00000073478, 2.24463, 2.29355, 2.43778, 0.91872, 0.88860, 0.76295, 1.54996, 2.21662, 2.23905, 2.23025, 2.36626, 2.84428
ENSMUSG00000027088, 3.57643, 3.50713, 3.61192, 3.39244, 3.43105, 3.16562, 3.44070, 3.39532, 3.16177, 3.72307, 3.83959, 3.73234
ENSMUSG00000085112, 2.73711, 2.69328, 2.59924, 2.78570, 2.61711, 2.51089, 2.38045, 3.20789, 3.03840, 3.06849, 3.11298, 3.25926
ENSMUSG00000020572, 5.67794, 5.93825, 7.23390, 5.26557, 5.25948, 5.85393, 6.17739, 5.46584, 6.01463, 5.06159, 5.00969, 5.94591
ENSMUSG00000036894, 4.27989, 4.27558, 4.56598, 5.24906, 5.18012, 5.31806, 4.98884, 4.78500, 4.88413, 4.51340, 4.48695, 5.07297
ENSMUSG00000002565, 5.05907, 5.21939, 5.39687, 4.88127, 4.98283, 5.23538, 5.65272, 4.62193, 5.67170, 5.07535, 5.15405, 4.84663
ENSMUSG00000017418, 3.00986, 3.03044, 3.87810, 2.31849, 2.54889, 2.55320, 3.14922, 2.83884, 3.06095, 2.58673, 2.57949, 2.53412
ENSMUSG00000021203, 1.64862, 1.59006, 1.84091, 2.41633, 2.68599, 2.49362, 2.15960, 1.86155, 1.34593, 2.47126, 2.87283, 2.40786
ENSMUSG00000043008, 5.24193, 5.45993, 6.28624, 5.43680, 5.41468, 5.61972, 5.82013, 5.72367, 5.61059, 5.01715, 4.95980, 5.99785
ENSMUSG00000046185, 2.70557, 2.70474, 2.84806, 3.42337, 3.53636, 3.37586, 3.30793, 2.80369, 2.74072, 3.02506, 2.96131, 2.79989
ENSMUSG00000027799,-1.47306,-1.33558,-1.48818, 0.57329,-0.20435, 0.52862,-0.04020,-1.32015,-0.37163,-0.25947,-0.21732,-1.14239
ENSMUSG00000054720, 7.88689, 7.82165, 7.55849, 8.36486, 8.35177, 8.38251, 8.66114, 8.27109, 8.11498, 8.06034, 8.00616, 7.78803
ENSMUSG00000032481, 6.02594, 5.84203, 5.52859, 5.78197, 5.83519, 5.99489, 5.93715, 6.43493, 6.00884, 5.76657, 5.78579, 5.37713
ENSMUSG00000049555,-0.54670,-0.02763,-0.10969,-1.74735,-2.09219,-1.96982,-1.05956,-1.06786,-1.97063,-0.64410,-0.93449, 0.71490
ENSMUSG00000019188, 7.42735, 7.38648, 7.67794, 8.11496, 8.14160, 8.11227, 7.38486, 7.84895, 7.84137, 8.21530, 8.18821, 8.56861
ENSMUSG00000087060, 1.32460, 0.94638,-0.72266, 0.37340, 0.39833,-0.45366, 0.26722, 1.09869, 0.72894, 1.82249, 1.73290, 0.67007
ENSMUSG00000001270, 1.43448, 1.59006, 1.69765,-0.74815,-0.54672,-0.35647, 0.11144, 0.79893, 0.90547, 1.27334, 1.34756, 1.19794
ENSMUSG00000086725,-0.40227,-0.43395,-0.90323, 0.57329, 0.37997,-0.04745, 0.21076,-2.01491,-0.63606, 0.82975, 0.59738, 0.20912
ENSMUSG00000109157, 3.04808, 2.94280, 1.18986,-0.05456,-0.04701,-0.32548,-0.43139, 3.41357, 2.67401, 2.94074, 2.96909, 1.82759
ENSMUSG00000038697, 5.38380, 5.25946, 5.47468, 5.21208, 5.19201, 5.07622, 5.41621, 4.75873, 5.09734, 5.14367, 5.03864, 4.81952
ENSMUSG00000035150, 7.37866, 7.33991, 7.49762, 7.80032, 7.83158, 7.97430, 7.69370, 7.07335, 7.18604, 7.55979, 7.58247, 7.31264
ENSMUSG00000105434,-0.20958,-0.02763,-1.90320,-4.24235,-3.08504,-2.55231,-4.36202,-0.15529,-1.64447,-2.64369,-1.33323,-2.72039
ENSMUSG00000027198, 5.69109, 5.58926, 5.49819, 5.52882, 5.57309, 5.51606, 5.53740, 5.31106, 5.61504, 5.60686, 5.56099, 5.46503
ENSMUSG00000021890, 5.64143, 5.66016, 6.66229, 6.21649, 6.19297, 6.58061, 6.26319, 5.40004, 6.20343, 5.79917, 5.77695, 5.49533
ENSMUSG00000024537, 4.93877, 4.83902, 4.26533, 4.89151, 4.86976, 4.73219, 4.47291, 4.60388, 4.33550, 4.98917, 5.11075, 4.69081
ENSMUSG00000066938,-2.47380,-2.05031,-4.80971,-2.51176,-3.08504,-2.17551,-3.39860,-4.75764,-2.09808,-3.00610,-4.06010,-2.19309
ENSMUSG00000028557, 5.03548, 5.08035, 5.35852, 5.25370, 5.26949, 5.27194, 5.28391, 4.96987, 4.93182, 5.41766, 5.35522, 5.18540
ENSMUSG00000053395, 2.53215, 2.41484, 0.91778, 0.91872, 0.69422, 0.30920, 1.05741, 1.46145, 1.68290, 2.69365, 2.34847, 1.77211
ENSMUSG00000107531,-0.88784,-1.15897,-3.48805,-2.66346,-1.99313,-4.27215,-4.36202, 0.86103,-0.78900,-1.72641,-1.58335,-2.19309
ENSMUSG00000003402, 7.10757, 7.15553, 7.63046, 7.17621, 7.13870, 7.16515, 7.08172, 6.90091, 7.16733, 6.94531, 6.96649, 7.25879
ENSMUSG00000040620, 3.95058, 3.90844, 3.17854, 4.24175, 4.26953, 3.97797, 4.28628, 3.58667, 3.26575, 3.81884, 3.86483, 3.07955
ENSMUSG00000085956,-0.93677,-1.85814,-0.81012,-2.51176,-2.72564,-2.29051,-2.30321,-1.46503,-1.55031,-1.72641,-2.00304,-0.57649
ENSMUSG00000120352,-2.98902,-5.80927,-2.48813,-1.74735,-1.09578,-1.55601,-2.30321,-2.39570,-1.97063,-2.00645,-1.88613,-1.72561
ENSMUSG00000053581, 3.41519, 3.37225, 2.96464, 3.59825, 3.61893, 3.92418, 3.36941, 2.44668, 2.63947, 3.24384, 3.37844, 2.59534
ENSMUSG00000095829,-0.30272,-0.05315,-2.22511, 4.12216, 4.30159, 3.99342, 2.53026, 1.84628, 1.04776, 5.18161, 5.24818, 3.96351
ENSMUSG00000029346, 3.26913, 3.06643, 2.75971, 3.22433, 3.25836, 2.89988, 2.81545, 2.86181, 2.68857, 3.46894, 3.64204, 2.75767
