Name,Label,Length,EffectiveLength,6_Acute_KO_3,5_Acute_KO_2,9_Chronic_Control_3,3_Acute_Control_3,2_Acute_Control_2,10_Chronic_KO_1,4_Acute_KO_1,1_Acute_Control_1,7_Chronic_Control_1,11_Chronic_KO_2,12_Chronic_KO_3,8_Chronic_Control_2
ENSMUSG00000070524,Fcrlb,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ENSMUSG00000038676,Ucn,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSMUSG00000022351,Sqle,NA,NA,205.0,239.0,133.0,128.0,340.0,343.0,262.0,368.0,146.0,287.0,246.0,107.0
ENSMUSG00000026237,Nmur1,NA,NA,0.0,6.0,8.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
ENSMUSG00000066196,Spag8,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000024972,Lgals12,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000095592,Ighd5-7,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000061273,Mmgt1,NA,NA,27.0,19.0,10.0,11.0,13.0,13.0,11.0,11.0,28.0,25.0,13.0,10.0
ENSMUSG00000029556,Hnf1a,NA,NA,7.0,3.0,3.0,4.0,2.0,5.0,3.0,20.0,1.0,0.0,34.0,4.0
ENSMUSG00000024128,Sbp,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000029423,Piwil1,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0
ENSMUSG00000069893,9930111J21Rik1,NA,NA,204.835,159.418,245.043,505.979,558.883,86.656,253.805,471.571,255.452,143.23,68.957,109.482
ENSMUSG00000040466,Blvrb,NA,NA,17.0,43.0,27.0,10.0,22.0,25.0,14.0,11.0,28.0,17.0,12.0,15.0
ENSMUSG00000037070,Rbmxl1,NA,NA,1034.9,1069.416,552.555,999.717,1472.131,668.643,874.832,1346.68,786.241,501.835,309.133,476.045
ENSMUSG00000035237,Lcat,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
ENSMUSG00000072575,Eddm3b,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000087303,Lipo2,NA,NA,0.5,0.5,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.5
ENSMUSG00000038599,Capn8,NA,NA,0.0,0.0,0.0,1.001,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0
ENSMUSG00000027951,Adar,NA,NA,332.0,328.999,265.0,921.0,756.0,320.0,498.993,791.0,498.0,325.0,179.0,250.0
ENSMUSG00000035200,Chrnb4,NA,NA,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
